Game,Opponent,True Probability (%),Bet Amount ($),Game Outcome,Profit ($),Cumulative Profit ($)
1,Atlanta Hawks,40,0,0,0,0
2,Los Angeles Lakers,60,20,1,20,20
3,Miami Heat,70,30,0,-30,-10
4,Oklahoma City Thunder,90,50,0,-50,-60
5,Dallas Mavericks,90,50,0,-50,-110
6,Memphis Grizzlies,10,0,0,0,-110
7,Portland Trail Blazers,30,0,0,0,-110
8,LA Clippers,0,0,0,0,-110
9,Toronto Raptors,30,0,1,0,-110
10,Sacramento Kings,80,40,1,40,-70
11,Toronto Raptors,60,20,1,20,-50
12,Minnesota Timberwolves,90,50,1,50,0
13,Oklahoma City Thunder,30,0,0,0,0
14,Phoenix Suns,90,50,1,50,50
15,Brooklyn Nets,40,0,0,0,50
16,Oklahoma City Thunder,70,30,1,30,80
17,Los Angeles Lakers,100,50,1,50,130
18,LA Clippers,50,10,0,-10,120
19,Portland Trail Blazers,20,0,1,0,120
20,Memphis Grizzlies,60,20,1,20,140
21,Philadelphia 76ers,30,0,1,0,140
22,LA Clippers,80,40,0,-40,100
23,New Orleans Pelicans,40,0,1,0,100
24,Atlanta Hawks,90,50,1,50,150
25,Philadelphia 76ers,50,10,0,-10,140
26,Miami Heat,20,0,1,0,140
27,Utah Jazz,70,30,0,-30,110
28,Milwaukee Bucks,80,40,1,40,150
29,Detroit Pistons,0,0,0,0,150
30,Charlotte Hornets,90,50,1,50,200
31,Washington Wizards,80,40,1,40,240
32,Denver Nuggets,20,0,0,0,240
33,Dallas Mavericks,30,0,0,0,240
34,Houston Rockets,50,10,1,10,250
35,Detroit Pistons,0,0,0,0,250
36,Cleveland Cavaliers,70,30,1,30,280
37,Dallas Mavericks,0,0,0,0,280
38,Milwaukee Bucks,10,0,0,0,280
39,Atlanta Hawks,70,30,1,30,310
40,Oklahoma City Thunder,70,30,1,30,340
41,Los Angeles Lakers,90,50,1,50,390
42,Cleveland Cavaliers,20,0,0,0,390
43,Atlanta Hawks,90,50,1,50,440
44,Atlanta Hawks,90,50,1,50,490
45,San Antonio Spurs,80,40,1,40,530
46,Atlanta Hawks,30,0,0,0,530
47,Los Angeles Lakers,100,50,1,50,580
48,Philadelphia 76ers,10,0,0,0,580
49,Milwaukee Bucks,80,40,1,40,620
50,Toronto Raptors,40,0,1,0,620
51,Brooklyn Nets,10,0,0,0,620
52,Detroit Pistons,80,40,1,40,660
53,New York Knicks,90,50,1,50,710
54,Phoenix Suns,80,40,0,-40,670
55,Denver Nuggets,70,30,1,30,700
56,Miami Heat,0,0,0,0,700
57,Atlanta Hawks,80,40,0,-40,660
58,Cleveland Cavaliers,70,30,1,30,690
59,Phoenix Suns,60,20,0,-20,670
60,Washington Wizards,70,30,0,-30,640
61,Indiana Pacers,100,50,1,50,690
62,New York Knicks,30,0,0,0,690
63,Milwaukee Bucks,80,40,0,-40,650
64,Memphis Grizzlies,50,10,0,-10,640
65,Golden State Warriors,80,40,1,40,680
66,Golden State Warriors,30,0,0,0,680
67,Detroit Pistons,100,50,1,50,730
68,Charlotte Hornets,80,40,1,40,770
69,Golden State Warriors,60,20,1,20,790
70,Portland Trail Blazers,40,0,0,0,790
71,Miami Heat,50,10,1,10,800
72,Utah Jazz,30,0,0,0,800
73,Dallas Mavericks,90,50,1,50,850
74,Philadelphia 76ers,80,40,0,-40,810
75,Portland Trail Blazers,80,40,1,40,850
76,Indiana Pacers,100,50,1,50,900
77,Miami Heat,30,0,0,0,900
78,Oklahoma City Thunder,20,0,0,0,900
79,Portland Trail Blazers,60,20,0,-20,880
80,Indiana Pacers,10,0,0,0,880
81,Portland Trail Blazers,90,50,1,50,930
82,Charlotte Hornets,50,10,1,10,940
